"compound","SMILES"
"C7H5NO10","C(=O)(N(=O)(=O))C(=O)C1(C(=O)(O))OOC(C1(O))C(=O)"
"C7H5NO9","C(=O)(N(=O)(=O))C(=O)C1(C(=O))OOC(C1(O))C(=O)"
"C7H5NO9","C(=O)(N(=O)(=O))C(=O)C1(C(O))OOC(C1(=O))C(=O)"
"C7H7NO9","C(=O)(N(=O)(=O))C(=O)C1(C(O))OOC(C1(O))C(=O)"
"C7H4N2O11","C(=O)(N(=O)(=O))C(=O)C1(C(ON(=O)(=O)))OOC(C1(=O))C(=O)"
"C7H6N2O11","C(=O)(N(=O)(=O))C(=O)C1(C(ON(=O)(=O)))OOC(C1(O))C(=O)"
"C7H5NO10","C(=O)(N(=O)(=O))C(=O)C1(C(OO))OOC(C1(=O))C(=O)"
"C7H7NO10","C(=O)(N(=O)(=O))C(=O)C1(C(OO))OOC(C1(O))C(=O)"
"C6H5NO8","C(=O)(N(=O)(=O))C(=O)C1(C)OC1(OO)C(=O)"
"C7H5NO8","C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O)"
"C7H5NO9","C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O)(O)"
"C7H5NO10","C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O)(OO)"
"C7H4N2O12","C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O)(OON(=O)(=O))"
"C7H7NO9","C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(O)(O))C(=O)"
"C7H7NO8","C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(O))C(=O)"
"C7H5NO10","C(=O)(N(=O)(=O))C(=O)C1(C)OOC(OO)(C1(=O))C(=O)"
"C7H6N2O12","C(=O)(N(=O)(=O))C(=O)C1(O)OOC(ON(=O)(=O))(C(=O))C1(O)C"
"C7H7NO11","C(=O)(N(=O)(=O))C(=O)C1(O)OOC(OO)(C(=O))C1(O)C"
"C6H5NO8","C(=O)(N(=O)(=O))C(=O)C1OC1C(=O)C(OO)"
"C6H3NO8","C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)"
"C6H3NO9","C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)(O)"
"C6H3NO10","C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)(OO)"
"C6H2N2O12","C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)(OON(=O)(=O))"
"C7H4N2O11","C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)C(ON(=O)(=O))"
"C6H5NO9","C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O)(O))C(=O)"
"C6H5NO10","C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O)(OO))C(=O)"
